accession name	SRR	Systematic Name	Origin	Skin hairiness	Fruit shape	Fruit flesh color	Flesh adhesion	Flesh firmness	Flesh taste	Flower type	Flower Shape	Fruit SSC (%)		Fruit weight (g)		Leaves gland	Growth habit	Internode length (cm)	Fruit development period (days)	Plant growth period (days)	Chilling requirements (hours)
Nonpareil	SRR1994365	P. communis (L.) Fritsch.	Wild, USA	Peach	Round	-	Freestone	Melting	-	-	Showy	-	-	-	-	-	-	-	-	-	-
Bai Hua Shan Tao	SRR830511	P. davidiana (Carr.) Franch.	China	Peach	Round	White	Freestone	Melting	Acid	Single	Showy	-	11	-	11	Globose	Common	2,65	129	265	400
Cl. P1908	SRR502982	P. davidiana (Carr.) Franch.	Wild, China	Peach	Round	-	-	-	-	-	-	7,4	-	15,2	-	-	-	-	-	-	-
Hong Hua Shan Tao	SRR830501	P. davidiana (Carr.) Franch.	Liaoning, China	Peach	Round	White	Freestone	Melting	Acid	Single	Showy	-	11	-	10,8	Globose	Common	2,22	125	280	400
Zhou Xing Shan Tao	SRR830512	P. davidiana (Carr.) Franch.	China	Peach	Round	White	Freestone	Melting	Acid	Single	Showy	-	10	-	8,15	Globose	Broomy	2,56	129	280	400
Shan Gan Shan Tao	SRR830503	P. davidiana var. potaninii Rehd.	Shanxi, China	Peach	Round	White	Freestone	Melting	Acid	Single	Showy	-	11	-	8	Globose	Common	1,93	153	255	400
Ka Shi 1	SRR830518	P. ferganensis Kost.et Riab.	Xinjiang, China	Peach	Round	White	Freestone	Melting	Acid	Single	Showy	-	15	-	102	Reniform	Common	2,15	158	268	750
Prunus ferganensis	SRR502998	P. ferganensis Kost.et Riab.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Prunus ferganensis	SRR502999	P. ferganensis Kost.et Riab.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Tian Ren Tao	SRR830502	P. ferganensis Kost.et Riab.	Gansu, China	Peach	Round	White	Freestone	Melting	Acid	Single	Showy	-	16	-	48	Reniform	Common	2,33	149	268	750
Xin Jiang Huang Rou	SRR830514	P. ferganensis Kost.et Riab.	Xinjiang, China	Peach	Round	Yellow	Freestone	Melting	Acid	Single	Showy	-	11,5	-	124	Reniform	Common	2,19	158	273	700
Xin Jiang Pan Tao 1	SRR830519	P. ferganensis Kost.et Riab.	Gansu, China	Peach	Flat	White	Freestone	Melting	Acid	Single	Showy	-	13	-	52	Reniform	Common	2,19	157	263	950
Bai Gen Gan Su Tao	SRR830513	P. kansuensis Rehd.	Gansu, China	Peach	Round	White	Clingstone	Melting	Acid	Single	Showy	-	13,5	-	16	Eglandular	Common	1,67	154	278	400
Hong Gen Gan Su Tao	SRR830499	P. kansuensis Rehd.	Gansu, China	Peach	Round	White	Freestone	Melting	Acid	Single	Showy	-	11	-	12,9	Eglandular	Common	1,67	154	278	400
Prunus kansuensis	SRR502984	P. kansuensis Rehd.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Guang He Tao A Ba	SRR830500	P. mira Koehne 	Sichuan, China	Peach	Round	White	Clingstone	Melting	Acid	Single	Showy	-	10	-	9,6	Globose	Common	-	137	-	650
Guang He Tao Ri Ka Ze	SRR830516	P. mira Koehne 	Tibet, China	Peach	Round	White	Clingstone	Melting	Acid	Single	Showy	-	10	-	20	Globose	Common	-	148	-	650
GZ-1	SRR3237746	P. mira Koehne 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Hong Round Guang He Tao	SRR830515	P. mira Koehne 	Tibet, China	Peach	Round	White	Clingstone	Melting	Acid	Single	Showy	-	10	-	30	Globose	Common	-	148	-	650
Xi Kang Bian Tao 1	SRR1994369	P. tangutica (L.) Batal.	Wild, Sichuan, China	Peach	Round	White	Freestone	Melting	-	-	Showy	-	-	-	5	-	-	-	-	-	-
Bai Hua Shan Bi Tao	SRR830517	P. persica (L.) Batsch. var. duplex Rehd	Beijing, China	Peach	Round	White	-	-	-	Double	Showy	-	-	-	-	Reniform	Common	2,2	-	-	400
