Cultivar	All mapped (flag 04)	Mapped reads without secondary mapped (flag 904)
EarlyGold	160986895	143507839
Kamarat	71668348	71481411
LiHeTianRen	32272035	32210217
Prunfer	60821110	57287086
Quetta	37410991	37104459
SahuaHong	40305087	40004102
ShenZhou	31776376	31569410
SRR068359	42503189	42401826
SRR068360	45442258	45341188
SRR068361	37204320	37091028
SRR1867806	30464931	29798173
SRR1994351	23059921	22998605
SRR1994354	16569074	16526874
SRR1994355	19498878	19450851
SRR1994356	19262882	19208939
SRR1994357	14377198	14341004
SRR1994358	18505245	18456930
SRR1994359	18174953	18126772
SRR1994360	17574498	17531659
SRR1994361	21724029	21668054
SRR1994362	15282038	15248942
SRR1994363	19622754	19574186
SRR1994364	16004331	15968919
SRR1994365	23660547	23427340
SRR1994366	21515470	21468360
SRR1994367	15911908	15868735
SRR1994368	15376526	15335755
SRR1994369	17130100	16993467
SRR1994370	14583223	14550456
SRR1994371	14966511	14910736
SRR1994372	15790468	15745427
SRR1994373	17460647	17408325
SRR1994374	17813067	17768451
SRR1994375	17690873	17636011
SRR1994376	18035947	17983191
SRR1994377	15032517	14988598
SRR1994378	16758063	16711291
SRR1994379	16161054	16122573
SRR1994380	16427403	16392293
SRR1994381	15679280	15629197
SRR1994382	19382069	19328408
SRR1994383	22334275	22266902
SRR1994384	21975724	21916064
SRR1994385	21309733	21246951
SRR1994386	19863779	19803509
SRR1994387	20458954	20399626
SRR1994388	19502777	19448041
SRR1994389	20629175	20568692
SRR1994390	15426160	15377733
SRR3237746	67693043	64955632
SRR3237759	71188352	70186611
SRR3237760	68471413	67348853
SRR3237761	79595360	78253572
SRR3237762	81217858	78463461
SRR501836	61285586	61146827
SRR502982	57429493	56862353
SRR502983	50956897	50836684
SRR502984	24041525	23870381
SRR502985	217843554	216529023
SRR502986	65997161	65828314
SRR502994	61368657	61135802
SRR502997	58519764	58450999
SRR503000	8048694	8045985
SRR830496	33803616	33803369
SRR830497	32105786	32105556
SRR830498	30404905	30404776
SRR830499	28668823	28668157
SRR830500	28229523	28228531
SRR830501	26363704	26363100
SRR830502	27939576	27939367
SRR830503	28253619	28253017
SRR830504	29252490	29252235
SRR830505	29629086	29628884
SRR830506	30254455	30254228
SRR830507	30327657	30327269
SRR830508	24828062	24827869
SRR830509	31357501	31357273
SRR830510	31224825	31224612
SRR830511	16224217	16223821
SRR830512	16728770	16728384
SRR830513	14334595	14334248
SRR830514	16168572	16168453
SRR830515	15856127	15855689
SRR830516	16194506	16194036
SRR830517	11829094	11828970
SRR830518	13813390	13813301
SRR830519	11709854	11709766
SRR830520	12332866	12332796
SRR830521	12750271	12750213
SRR830522	12689455	12689365
SRR830523	13534635	13534548
SRR830524	11377777	11377676
SRR830525	13334548	13334480
SRR830526	12481208	12481125
SRR830527	15158248	15158129
SRR830528	12542024	12541932
SRR830529	12991340	12991259
SRR830530	12827068	12826971
SRR830531	15235597	15235474
SRR830532	13276513	13276420
SRR830533	12979268	12979202
SRR830534	13071462	13071356
SRR830535	11609854	11609795
SRR830536	12763257	12763175
SRR830537	12263446	12263360
SRR830538	13036965	13036885
SRR830539	12026585	12026514
SRR830540	13266539	13266430
SRR830541	13141600	13141509
SRR830542	12933881	12933803
SRR830545	14761089	14760992
SRR830546	13844417	13844344
SRR830547	14528678	14528583
SRR830548	15015316	15015238
SRR830549	14079652	14079546
SRR830550	15231371	15231300
SRR830551	16435026	16434926
SRR830552	16152835	16152726
SRR830553	18008964	18008858
SRR830554	13078305	13078178
SRR830555	14520541	14520357
SRR830556	13402280	13402165
SRR830557	11553174	11553122
SRR830558	13727337	13727228
SRR830559	13537490	13537377
SRR830560	11576324	11576237
SRR830561	12928538	12928426
SRR830562	13049911	13049764
SRR830563	17725158	17725060
SRR830564	17166111	17166004
SRR830565	17285652	17285491
SRR830566	19104832	19104687
SRR830567	13818599	13818510
SRR830568	16651975	16651868
SRR830569	18858273	18858160
SRR830570	11523223	11523130
SRR830571	14612741	14612618
SRR830572	14734195	14734091
SRR830573	16035507	16035376
SRR830575	17131206	17131099
SRR830576	15553171	15553014
SRR830577	15622256	15622167
SRR830578	11717536	11717460
SRR830579	16071507	16071399
Venus	92522139	89283452
ZhonHua	29570888	29506992
