sample_1.gtf	sample_2.gtf	sample_3.gtf	sample_4.gtf	sample_5.gtf	sample_6.gtf	sample_7.gtf	sample_8.gtf	sample_9.gtf	sample_10.gtf	sample_11.gtf	sample_12.gtf	sample_13.gtf	sample_14.gtf	sample_15.gtf	sample_16.gtf	sample_17.gtf	sample_18.gtf	sample_19.gtf	sample_20.gtf	sample_21.gtf	sample_22.gtf	sample_23.gtf	sample_24.gtf	sample_25.gtf	sample_26.gtf	sample_27.gtf	sample_28.gtf	sample_29.gtf	sample_30.gtf
0.000000	5.477023	0.000000	3.555118	4.887107	9.088752	3.329536	0.786826	0.108666	2.303279	0.143012	0.111292	0.893951	0.716366	0.098347	7.845348	0.122193	2.445746	0.050853	2.315298	0.098448	0.471072	0.144893	0.927285	0.332770	0.792219	3.380068	0.000000	0.000000	0.158636
0.000000	0.000000	0.000000	0.978741	5.009597	1.979226	1.518480	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.036220	0.000000	0.000000	2.994391	0.000000	0.000000	0.000000
16.615911	12.432106	21.991596	4.056636	5.609560	9.807175	14.053843	31.779222	29.498497	9.976745	28.395769	25.793707	19.851971	23.761381	27.714834	6.697577	16.437967	5.985348	12.188879	19.418446	21.762213	13.292780	13.575529	21.110506	24.264334	25.080606	17.501047	22.382114	14.593363	34.158787
6.038905	0.056887	0.000000	0.064733	0.000000	0.000000	0.000000	3.848471	0.000000	0.000000	0.000000	0.000000	0.000000	3.753168	1.521376	0.000000	0.000000	0.016950	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
4.709889	0.000000	0.000000	3.859504	9.671866	0.597845	5.650646	3.598855	0.000000	0.000000	0.000000	0.230172	0.000000	0.000000	1.888309	0.000000	0.000000	7.880567	5.879185	0.000000	0.000000	0.349673	4.968540	1.272061	0.000000	5.996571	1.945823	4.545792	0.711135	0.000000
1.983671	7.723722	14.200235	3.944472	14.601373	13.409851	5.453784	17.785110	5.803628	0.381218	11.981285	15.755836	12.745202	29.458132	2.773190	2.114010	0.962964	7.330685	3.100866	9.512268	8.082630	5.854623	5.891364	2.830488	10.313611	21.285084	18.315855	0.000000	1.904897	8.619585
2.918564	0.000000	0.000000	0.000000	0.000000	2.819689	3.295328	0.000000	0.000000	0.000000	0.000000	0.000002	0.000000	0.000586	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.080334	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005092	0.000000	0.000000	0.000000	0.000000	0.000000	0.078182	0.000000	0.000000	0.256071	0.000000	0.000000	0.000000	0.000000	0.000000	0.218670	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	1.664367	3.585491	0.000000	1.868546	0.000000	0.000000	2.611078	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.273152	0.000000	1.625667
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	13.291038	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
