sample_1.gtf	sample_2.gtf	sample_3.gtf	sample_4.gtf	sample_5.gtf	sample_6.gtf	sample_7.gtf	sample_8.gtf	sample_9.gtf	sample_10.gtf	sample_11.gtf	sample_12.gtf	sample_13.gtf	sample_14.gtf	sample_15.gtf	sample_16.gtf	sample_17.gtf	sample_18.gtf	sample_19.gtf	sample_20.gtf	sample_21.gtf	sample_22.gtf	sample_23.gtf	sample_24.gtf	sample_25.gtf	sample_26.gtf	sample_27.gtf	sample_28.gtf	sample_29.gtf	sample_30.gtf
0.0	2.165493	0.0	1.257777	2.334029	3.165620	1.697566	0.420976	0.067451	1.060206	0.083405	0.060190	0.372997	0.356719	0.063831	3.532417	0.046068	0.823196	0.027232	0.884368	0.046453	0.217878	0.060534	0.716155	0.169526	0.453066	1.615265	0.0	0.0	0.093829
0.0	0.0	0.0	0.346272	2.392529	0.689366	0.774198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.661855	0.0	0.0	1.430958	0.0	0.0	0.0
5.800258	4.915378	11.515385	1.435211	2.679065	3.415847	7.165360	17.002859	18.310322	4.592325	16.560463	13.950006	8.283143	11.832130	17.987995	3.015626	6.197275	2.014565	6.527162	7.417211	10.268592	6.148108	5.671638	16.303932	12.361215	14.343470	8.363391	15.844397	8.956885	20.203974
2.108052	0.022492	0.0	0.022902	0.0	0.0	0.0	2.059050	0.0	0.0	0.0	0.0	0.0	1.868914	0.987432	0.0	0.0	0.005705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.644121	0.0	0.0	1.365467	4.619178	0.208230	2.880985	1.925498	0.0	0.0	0.0	0.124484	0.0	0.0	1.225585	0.0	0.0	2.652463	3.148312	0.0	0.0	0.161729	2.075776	0.982430	0.0	3.429408	0.929869	3.217986	0.436469	0.0
0.692457	3.053788	7.435621	1.395528	6.973457	4.670663	2.780615	9.515580	3.602431	0.175476	6.987507	8.521226	5.317877	14.668864	1.799907	0.951846	0.363047	2.467382	1.660518	3.633375	3.813823	2.707850	2.461317	2.186025	5.254163	12.172831	8.752771	0.0	1.169158	5.098245
1.018808	0.0	0.0	0.0	0.0	0.982100	1.680125	0.0	0.0	0.0	0.0	0.000001	0.0	0.000292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.028043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003161	0.0	0.0	0.0	0.0	0.0	0.050743	0.0	0.0	0.086189	0.0	0.0	0.0	0.0	0.0	0.168882	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.871507	1.268523	0.0	0.650816	0.0	0.0	1.620750	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.317079	0.0	0.961537
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.000000	0.000000	0.000000	0.0	0.0	0.000000	0.0	0.0	0.000000	0.0	0.000000	0.000000	0.0	0.0	0.0	4.473534	0.0	0.0	0.000000	0.000000	0.0	0.0	0.000000	0.0	0.000000	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.120507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.123409	0.366841	0.0	0.0	0.0	0.0	0.108363	0.0	0.0	0.003566	0.0	0.0	0.0	0.0	0.0	0.033254	0.0	0.0	0.0	0.0	0.0	0.0
9.660928	3.194355	12.329811	5.222273	9.582419	3.368592	11.619547	11.335026	16.389631	16.948463	2.638001	9.856016	9.625562	4.270157	23.726650	11.533525	10.998260	0.0	14.890039	8.060922	10.071779	11.317613	5.039270	30.689945	7.017985	8.293232	3.581054	20.780996	19.211300	15.330965
3.201087	8.675926	13.641869	12.917277	5.353899	6.672581	16.884359	8.315020	6.477369	0.0	4.991285	0.0	0.0	0.0	3.376848	8.876190	4.364453	3.073405	3.915719	3.745364	10.026218	11.062928	9.313105	13.589889	15.941304	15.014940	0.0	6.606888	4.820797	0.0
3.391031	9.088380	15.441755	23.151308	11.290849	7.804736	21.213757	10.771516	9.755522	3.123692	7.286139	25.838629	16.088194	15.377295	8.044160	12.527820	25.059422	3.538884	10.828450	5.103497	11.004327	23.582739	11.336783	17.978777	25.317692	17.200182	14.353681	37.536926	5.677510	37.906181
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.223097	4.074401	11.501857	9.706059	8.253460	7.507092	5.231106	6.835710	2.191634	2.983755	4.975334	22.135519	7.612947	2.411294	3.545637	3.697713	3.124954	3.064562	2.916812	4.916023	7.216548	5.755731	7.988024	12.957358	3.328572	6.712851	2.267500	7.752632	4.400003	9.028864
79.474838	119.793663	66.503128	27.735168	36.689617	33.546097	228.625244	57.591305	114.194626	32.898376	143.037247	31.120695	80.309959	87.044624	82.586952	94.059280	11.435742	46.105938	15.568151	28.613462	34.529091	15.010217	29.015366	194.620667	50.637966	81.449409	84.968834	54.372437	178.113647	47.514732
4.367002	0.565394	2.037190	1.059032	1.970620	2.025227	5.343799	0.586242	2.149015	11.958822	5.198604	5.311708	1.129652	0.977535	0.937670	0.713595	1.639567	2.893712	0.740107	1.512167	4.391366	1.216372	3.227462	7.355689	5.955004	2.032577	2.731575	14.584693	1.833982	1.850204
