Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSG00000237683.5	AL627309.1	chr1	-	134901	139379	1.171111	2.452131	6.211404
ENSG00000269831.1	AL669831.1	chr1	-	738532	739137	0.247525	0.518280	1.312837
ENSG00000187583.5	PLEKHN1	chr1	+	901877	911245	0.315319	1.496198	3.789966
ENSG00000187642.5	C1orf170	chr1	-	910579	917497	0.000000	0.000000	0.000000
ENSG00000188290.6	HES4	chr1	-	934342	935552	19.704847	53.988018	136.755096
ENSG00000187961.9	KLHL17	chr1	+	895967	901095	4.502251	19.345863	49.004307
ENSG00000187634.6	SAMD11	chr1	+	860260	879955	0.015232	0.031894	0.080788
ENSG00000268179.1	AL645608.1	chr1	-	861264	866445	0.000000	0.000000	0.000000
ENSG00000188976.6	NOC2L	chr1	-	879584	894689	15.533467	155.169006	393.052979
ENSG00000187608.5	ISG15	chr1	+	948803	949920	481.580566	1576.220337	3992.666992
ENSG00000237330.1	RNF223	chr1	-	1007126	1009687	0.058158	0.121774	0.308462
ENSG00000186891.9	TNFRSF18	chr1	-	1138888	1142071	2.296039	12.608147	31.937243
ENSG00000186827.6	TNFRSF4	chr1	-	1146706	1149518	3.025546	12.023723	30.456858
ENSG00000131591.13	C1orf159	chr1	-	1017198	1051741	0.691609	23.117754	58.558750
ENSG00000184163.3	FAM132A	chr1	-	1177826	1182102	0.114202	1.237024	3.133460
ENSG00000176022.3	B3GALT6	chr1	+	1167629	1170421	19.063015	39.915096	101.107475
ENSG00000078808.12	SDF4	chr1	-	1152288	1167411	15.228927	234.943512	595.126892
ENSG00000188157.9	AGRN	chr1	+	955503	991496	17.991117	194.619415	492.983398
ENSG00000162572.15	SCNN1D	chr1	+	1215816	1227409	0.079620	0.328450	0.831984
ENSG00000160087.16	UBE2J2	chr1	-	1189289	1209265	5.672348	164.985153	417.917908
ENSG00000224051.2	GLTPD1	chr1	+	1260136	1264277	11.048213	50.940434	129.035385
ENSG00000162576.11	MXRA8	chr1	-	1288069	1297157	0.419188	0.877717	2.223313
ENSG00000169962.4	TAS1R3	chr1	+	1266694	1270686	0.338092	0.707914	1.793191
ENSG00000107404.13	DVL1	chr1	-	1270656	1284730	4.980305	48.461639	122.756416
ENSG00000175756.9	AURKAIP1	chr1	-	1309110	1310875	119.737320	449.235352	1137.941895
